id,title,description,availability,condition,price,link,image_link,brand,google_product_category
calantha,Calantha - 35%+ Pure Extrait De Parfum,Luxury floral extrait de parfum with 12+ hour longevity and custom laser photo engraving in Jaipur.,in stock,new,1085.00 INR,https://sentirebypc.com/perfumes/calantha,https://sentirebypc.com/assets/perfumes/calantha-50ml.webp,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne
deep-crush,Deep Crush - 35%+ Pure Extrait De Parfum,Alluring gourmand floral extrait de parfum with 12+ hour sillage.,in stock,new,1085.00 INR,https://sentirebypc.com/perfumes/deep-crush,https://sentirebypc.com/assets/perfumes/deep-crush-50ml.webp,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne
herrlich,Herrlich - 35%+ Pure Extrait De Parfum,Commanding woody luxury extrait de parfum.,in stock,new,2196.00 INR,https://sentirebypc.com/perfumes/herrlich,https://sentirebypc.com/assets/perfumes/herrlich-50ml.webp,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne
midnight,Midnight - 35%+ Pure Extrait De Parfum,Mysterious sensual night extrait de parfum.,in stock,new,1949.00 INR,https://sentirebypc.com/perfumes/midnight,https://sentirebypc.com/assets/perfumes/midnight-50ml.webp,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne
mirai,Mirai - 35%+ Pure Extrait De Parfum,Luminous fresh signature extrait de parfum.,in stock,new,1679.00 INR,https://sentirebypc.com/perfumes/mirai,https://sentirebypc.com/assets/perfumes/mirai-50ml.webp,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne
0809,0809 Signature - 35%+ Pure Extrait De Parfum,Royal oriental extrait de parfum by House of Sentire.,in stock,new,2889.00 INR,https://sentirebypc.com/perfumes/0809,https://sentirebypc.com/assets/perfumes/0809-50ml.webp,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne
personna,Personna - 35%+ Pure Extrait De Parfum,Bespoke oriental luxury extrait de parfum.,in stock,new,1593.00 INR,https://sentirebypc.com/perfumes/personna,https://sentirebypc.com/assets/perfumes/personna-50ml.webp,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne
purple-oud,Purple Oud - 35%+ Pure Extrait De Parfum,Rare artisanal purple oud extrait de parfum.,in stock,new,1489.00 INR,https://sentirebypc.com/perfumes/purple-oud,https://sentirebypc.com/assets/perfumes/purple-oud-50ml.webp,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne
rich,Rich - 35%+ Pure Extrait De Parfum,Opulent amber extrait de parfum.,in stock,new,1593.00 INR,https://sentirebypc.com/perfumes/rich,https://sentirebypc.com/assets/perfumes/rich-50ml.webp,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne
seductive,Seductive - 35%+ Pure Extrait De Parfum,Magnetic fresh seductive extrait de parfum.,in stock,new,1149.00 INR,https://sentirebypc.com/perfumes/seductive,https://sentirebypc.com/assets/perfumes/seductive-50ml.webp,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne
white-oud,White Oud - 35%+ Pure Extrait De Parfum,Precious white oud luxury extrait de parfum.,in stock,new,2889.00 INR,https://sentirebypc.com/perfumes/white-oud,https://sentirebypc.com/assets/perfumes/white-oud-50ml.webp,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne
discovery-set,Sentire Discovery Set - 5 Spray Vials,Experience 5 signature extrait de parfum 5ml vials with a ₹500 voucher.,in stock,new,549.00 INR,https://sentirebypc.com/discovery-set,https://sentirebypc.com/discovery_hero_cover.jpg,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne
byob,Build Your Own Bundle - 3 x 50ml Extraits,Customise your bespoke 3-bottle luxury perfume box.,in stock,new,2899.00 INR,https://sentirebypc.com/byob,https://sentirebypc.com/assets/perfumes/purple-oud-50ml.webp,SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne
