Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Status
0809,0809 Extrait de Parfum,"Sichuan Pepper, Lavender, Star Anise, Nutmeg, Ambroxan",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,10 ML,0809-10ML,100,,1000,continue,manual,699,949,TRUE,TRUE,active
0809,0809 Extrait de Parfum,"Sichuan Pepper, Lavender, Star Anise, Nutmeg, Ambroxan",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,30 ML,0809-30ML,300,,1000,continue,manual,1994,2709,TRUE,TRUE,active
0809,0809 Extrait de Parfum,"Sichuan Pepper, Lavender, Star Anise, Nutmeg, Ambroxan",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,50 ML,0809-50ML,500,,1000,continue,manual,2889,4069,TRUE,TRUE,active
calantha,Calantha Extrait de Parfum,"Blooming Florals, Jasmine, Rose, Sandalwood Amber",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,10 ML,CALANTHA-10ML,100,,1000,continue,manual,399,449,TRUE,TRUE,active
calantha,Calantha Extrait de Parfum,"Blooming Florals, Jasmine, Rose, Sandalwood Amber",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,30 ML,CALANTHA-30ML,300,,1000,continue,manual,900,1409,TRUE,TRUE,active
calantha,Calantha Extrait de Parfum,"Blooming Florals, Jasmine, Rose, Sandalwood Amber",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,50 ML,CALANTHA-50ML,500,,1000,continue,manual,1085,1539,TRUE,TRUE,active
deep-crush,Deep Crush Extrait de Parfum,"Lavender, Tobacco Woods, Sandalwood Amber",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,10 ML,DEEP-CRUSH-10ML,100,,1000,continue,manual,350,419,TRUE,TRUE,active
deep-crush,Deep Crush Extrait de Parfum,"Lavender, Tobacco Woods, Sandalwood Amber",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,30 ML,DEEP-CRUSH-30ML,300,,1000,continue,manual,899,1319,TRUE,TRUE,active
deep-crush,Deep Crush Extrait de Parfum,"Lavender, Tobacco Woods, Sandalwood Amber",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,50 ML,DEEP-CRUSH-50ML,500,,1000,continue,manual,1085,1539,TRUE,TRUE,active
herrlich,Herrlich Extrait de Parfum,"Fresh Bergamot, Jasmine Rose, Dark Chocolate",SENTIRE By PC,Health & Beauty > Personal Care > Cosmetics > Perfumes & Colognes,Perfume,"Extrait de Parfum, Luxury",TRUE,Size,10 ML,HERRLICH-10ML,100,,1000,continue,manual,550,639,TRUE,TRUE,active
